| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Prof. Wong Wai-yeung, Raymond | ['Chairman', 'Associate Editor', 'Editor', 'International Advisory Board Member', 'Changjiang Chair Professorship', 'Department of Applied Biology and Chemical Technology'] | ['Department of Applied Biology and Chemical Technology'] | ['The University of Tokyo (Ph', 'D', ')'] | ['Ph', 'D'] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Wong Ka-Leung, Gary | ['Chair-Professor', 'Professor', 'Department of Applied Biology and Chemical Technology'] | ['Department of Applied Biology and Chemical Technology'] | [] | [] | ['image guided cancer therapy', 'lanthanide chemistry and spectroscopy', 'Bioinorganic Chemistry', 'Luminescent Materials', 'Lanthanide Chemistry', 'Spectroscopy', 'reactive of Epstein Barr virus by a dual-responsive fluorescent EBNA1-targeting agent with Zn 2+ -chelating function', 'energy transfer between Tb 3+ and Eu 3+ in LaPO 4 : pulsed vs switched-off continuous wave excitation', 'and reactivation of Epstein Barr virus by a dual-responsive fluorescent EBNA1-targeting agent with Zn 2+ -chelating function'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Zheng Zijian | ['Lead Investigator', 'Editor-in-Chief', 'Academic and Professional Experiences'] | ['Department of Applied Biology and Chemical Technology'] | [] | [] | ['flexible stretchable wearable electronics', 'flexible battery', 'energy conversion and storage', 'polymer surface chemistry'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Prof. Lee Kin-wah, Terence | ['Academic Editor', 'Active member', 'Country National Science Foundation Committee Expert', 'Professor', 'CRAF methylation by PRMT6 regulates aerobic glycolysis driven hepatocarcinogenesis via ERK-dependent PKM2 nuclear relocalization and activation', 'IRAK1 augments cancer stemness and drug resistance via the AP-1/AKR1B10 signaling cascade in hepatocellular carcinoma', 'Stearoyl-CoA desaturase regulates sorafenib resistance via modulation of ER stress-induced differentiation', 'SENP1 promotes hypoxia-induced cancer stemness by HIF-1α deSUMOylation and SENP1/HIF-1α positive feedback loop', 'Cancer-associated fibroblasts regulate tumor initiating cell plasticity in hepatocellular carcinoma through c-Met/FRA/HEY1 signaling', 'Nuclear factor kappa B-mediated CD47 up-regulation promotes sorafenib resistance and its blockade synergizes the effect of sorafenib in hepatocellular carcinoma in mice'] | ['Department of Applied Biology and Chemical Technology'] | ['Hong Kong University', 'The University of Hong Kong'] | ['Ph', 'D'] | ['Cancer Stem Cells', 'Molecular Aspects of Cancer Metastasis and Drug Resistance', 'Cancer Therapeutics', 'cancer stem cells in hepatocellular carcinoma', 'CRAF methylation by PRMT6 regulates aerobic glycolysis driven hepatocarcinogenesis via ERK-dependent PKM2 nuclear relocalization and activation', 'IRAK1 augments cancer stemness and drug resistance via the AP-1/AKR1B10 signaling cascade in hepatocellular carcinoma', 'Stearoyl-CoA desaturase regulates sorafenib resistance via modulation of ER stress-induced differentiation', 'cancer stemness', 'HIF-1α deSUMOylation', 'SENP1/HIF-1α positive feedback loop', 'cancer-associated fibroblasts', 'c-Met/FRA/HEY1 signaling', 'nuclear factor kappa B-mediated CD47 up-regulation', 'sorafenib resistance', 'Hepatology 2014', '60(1): 179-91'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Prof. Yung Ka-fu, Joseph | ['Associate Head', 'Department of Applied Biology and Chemical Technology', 'Department of University-wide Collaborative Education in Science & Engineering', 'Council Member', 'Professor'] | ['Department of Applied Biology and Chemical Technology'] | ['The University of Hong Kong', 'The Chinese University of Hong Kong'] | ['Bachelor of Science', 'Doctor of Philosophy', 'PhD in Chemistry'] | ['Inorganic Materials', 'Nanotechnology', 'Electronichemistry', 'Catalysis', 'Renewable Energy', 'nanostar catalyst', 'biodiesel production', 'synthesis of biodiesel', 'electrocatalysis', 'esterification', 'transesterification'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Zhao Yanxiang | ['Associate Head(ABCT) & DLTC chair', 'Prof'] | ['Department of Applied Biology and Chemical Technology'] | ['Peking University', 'State University of New York', 'The Rockefeller University'] | ['Bachelor of Science', 'Master of Arts', 'Doctor of Philosophy'] | ['cellular signaling proteins', 'in particular the protein complexes that regulate cellular homeostasis and development in response to environmental stimuli', 'autophagy', 'cell metabolism', 'structure-based development of functional molecules with therapeutic potential'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Law Ga-lai | ['Professor', 'Department of Applied Biology and Chemical Technology'] | ['Department of Applied Biology and Chemical Technology'] | ['The University of Manchester', 'The University of Hong Kong', 'University of Hong Kong'] | ['Master of Chemistry', 'Doctor of Philosophy', 'PhD in Chemistry'] | ['Chemical-Biology', 'f elements and Luminescence to develop new luminescent materials as well as multimodal imaging probes', 'Chemical Biology', 'Inorganic Chemistry with F-Block Elements', 'Luminescent Materials', 'Chiral Compounds', 'Materials', 'Molecular Imaging', 'Molecular imaging', 'Photodynamic therapy', 'Lanthanide complexes', 'Multiphoton processes'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Prof. Yu Wing-yiu, Michael | ['Professor', 'Chair-Professor', 'Head of the Department of Applied Biology and Chemical Technology'] | ['Department of Applied Biology and Chemical Technology'] | ['The University of Hong Kong', 'University of California', 'Berkeley'] | ['Bachelor of Science', 'Ph', 'D', 'in Chemistry', 'PhD in Chemistry'] | ['green chemical synthesis', 'organic synthesis', 'catalytic chemistry', 'and materials science', 'catalytic amination', 'carbenoid functionalization', 'organic chemistry'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Prof. Leung Yun-chung, Thomas | ['Academic Staff', 'Department of Applied Biology and Chemical Technology', 'Professor'] | ['Department of Applied Biology and Chemical Technology'] | ['University of London', 'Hong Kong University', 'The University of Hong Kong', 'University of California', 'Berkeley', 'San Francisco', 'United States'] | ['Bachelor of Science in Chemistry and Biochemistry', 'professional qualifications', 'Graduate Member of the Royal Society of Chemistry', 'associations', 'Associate member of the Royal College of Science', 'PhD', 'MSc', 'BSc', 'PhD in Molecular and Cellular Biology', 'Ph', 'D'] | ['rational design of cancer drugs by protein engineering and chemical biology', 'and the rational design of ultrafast biosensors for drug discovery', 'molecular biology', 'biotechnology', 'Chemical Biology and Drug Design', 'Antibiotics', 'Biochemistry and molecular biology'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Leung Yun-chung | [] | [] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Prof. Li Pei | ['Professor'] | ['Department of Applied Biology and Chemical Technology'] | ['University of Ottawa', '[Johns Hopkins University', 'University of California', 'Berkeley]'] | ['Doctor of Philosophy (Chemistry)', 'PhD in Chemistry', 'University of California', 'Berkeley', 'BS in Chemistry', 'Nanjing University'] | ['development of new functional materials for emerging applications', 'Polymer Chemistry', 'Nanomaterials and Their Applications', 'Functional Materials'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Pei Li | ['Professor'] | ['Department of Applied Biology and Chemical Technology'] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Prof. Yao Zhongping | ['Professor', 'Academic and Professional Experiences Panel Member', 'Assessment Panel Member', 'President', 'International Committee Member', 'Member', 'First Class Prize (First Accomplisher)', 'CAIA Award', 'The China Association for Instrumental Analysis (CAIA)', 'Patents', 'Department of Applied Biology and Chemical Technology'] | ['Department of Applied Biology and Chemical Technology'] | ['Hong Kong University of Science and Technology', 'The Hong Kong Society of Mass Spectrometry', 'University of California', 'Los Angeles'] | ['Doctor of Philosophy', 'Member of Organic Analysis Committee', 'The Chinese Chemical Society', 'Ph', 'D'] | ['mass spectrometry', 'analytical chemistry', 'chemical biology and -omics', 'Data Storage Using Peptides', 'Edible Oil Analysis System and Method', 'Mass Spectrometry', 'Chromatography', 'Enzyme Kinetics and Mechanism', 'Molecular Modeling', 'Quantitative Analysis', 'Protein Structure and Function', 'Biotechnology', 'In Vivo Detection of Secondary Metabolites', 'Mass Spectrometry for Characterization of Proteins', 'Site Specific Hydrogen Exchange of Proteins'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Zhongping YAO | ['Prof', 'Department of Applied Biology and Chemical Technology'] | ['Department of Applied Biology and Chemical Technology'] | [] | [] | ['authenticity of edible oils'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Prof. Zhou Lei | ['Professor', 'Corresponding author', 'Prof', 'Department of Applied Biology and Chemical Technology'] | ['Department of Applied Biology and Chemical Technology'] | ['Analytica Chimica Acta', 'Analytical Chemistry', 'Ocular Surface'] | ['PhD'] | ['cancer stem cells', 'tear proteomics', 'laser-assisted in-situ keratomileusis (LASIK)', 'reactive metabolite-induced protein glutathionylation', 'metabolomics in eye research', 'metabonomics', 'gene-environment-wide association scans', 'refractive error', 'conjunctival epithelial cells', 'Proteomics', 'Ophthalmology', 'Tear analysis', '951:297-306'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Ho Cheuk-lam | ['Associate Professor', '？', 'Department of Applied Biology and Chemical Technology', 'N/A', 'Wong'] | ['Department of Applied Biology and Chemical Technology'] | ['Hong Kong Baptist University', '？', 'N/A', 'University of Hong Kong'] | ['Bachelor of Science in Applied Chemistry', 'Doctor of Philosophy', '？', 'N/A', 'PhD in Chemistry'] | ['rational design and synthesis of functional materials for photovoltaic and optoelectronic devices', 'light-driven water splitting and carbon dioxide reduction applications', 'nanoparticle preparation and patterning', 'Functional Materials Photocatalytic Water Splitting Patterning of Nanoparticles Energy Materials Materials Chemistry', 'nanotechnology', 'magnetic recording', 'organic dyes for solar cells', 'Poly(fluorenylethynylene)s for Nonvolatile Resistive Memory Devices', 'Starburst Triarylamine Donor with Selenophene Containing π-Linker for Dye-Sensitized Solar Cells', 'polymer science', 'materials science'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Huang Bolong | ['Associate Professor', 'Academic Memberships', 'Member of Hong Kong Physics Society (HKPS)', 'Member of American Physics Society (APS)', 'Member of American Chemistry Society (ACS)', 'Referee-of-Small', 'Referee-of-Adv-Func-Mater', 'Referee-of-J-Am-Chem-Soc', 'M', 'Zhang', 'X', 'Zhai', 'Sun', 'T', 'Ma', 'Y', 'Huang', 'B'] | ['Department of Applied Biology and Chemical Technology'] | ['University of Cambridge', 'Awarded by Prof', 'Wang Erkang', 'CAS Fellow/Academician\\nState Key Laboratory of Electroanalytical Chemistry', 'Changchun Institute of Applied Chemistry (CIAC)\\nChinese Academic of Science', 'M', 'Zhang', 'X', 'Zhai', 'Sun', 'T', 'Ma', 'Y', 'Huang', 'B'] | ['Doctor of Philosophy', 'Awarded by Prof', 'M', 'Zhang', 'X', 'Zhai', 'Sun', 'T', 'Ma', 'Y', 'Huang', 'B'] | ['theoretical calculations of electronic structures on nanomaterials', 'energy materials', 'solid functional materials', 'rare earth materials as well as their applications in multi-scale energy conversion and supply systems', 'Electronic Structures of Solid Functional Materials\\nEnergy Storage and Conversion Systems for Novel Catalysts\\nStrain Modulations in Transitional Metal Materials\\nAdvanced Luminescence Materials'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| ZHANG Hongjie | [] | [] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Bolong Huang | ['Dr', 'Unknown', 'IF: 27', '398', 'IF: 25', '245'] | ['Department of Applied Biology and Chemical Technology'] | ['IF: 27', '398 M', 'Sun', 'T', 'Wu', 'A', 'W', 'Dougherty', 'M', 'Lam', 'B', 'Huang*', 'Y', 'Li', 'C', '-H', 'Yan', '‘Self-validated Machine Learning Study of Graphdiyne-based Dual Atomic Catalyst’', 'Advanced Energy Materials', '11', '2003796 (2021)'] | ['IF: 25', '245 M', 'Sun and B', 'Huang*', '‘Phonon Evidence of Kohn Anomalies in nanogenerator ZnO’', 'Nano Energy', '59', '626-635 (2019)'] | ['nanoclusters-activated ruthenium nanowires', 'layered double hydroxide microcapsules', 'iridium single atoms'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Keng Wee-keong, Vincent | ['DoCAF & Assoc', 'Professor', 'Dr'] | ['Department of Applied Biology and Chemical Technology'] | ['Fukui Medical University'] | ['Doctor of Philosophy'] | ['Cancer Genetics', 'Molecular Biology', 'WNT/CTNNB1 signaling pathway', 'PPARG', 'hepatocellular carcinoma tumourigenesis', 'adipose tissue development', 'sympathetic nervous system activity', 'Schwann cell-specific PTEN and EGFR dysfunctions affect neuromuscular junction development by impairing Argrin signaling and autophagy', 'HBx-K130M/V131I promotes liver cancer in transgenic mice via AKT/FOXO1 signaling pathway and arachidonic acid metabolism', 'Sodium tanshinone IIA sulfonate ameliorates hepatic steatosis by inhibiting lipogenesis and inflammation', 'cancer gene validation', 'cancer therapy', 'gene therapy', 'neuromuscular junction', 'schwann cells', 'malignant peripheral nerve sheath tumor', 'hepatocellular carcinoma'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Ko Chi-bun, Ben | ['Associate Professor', 'Ben', 'Department of Applied Biology and Chemical Technology', 'Dr'] | ['Department of Applied Biology and Chemical Technology'] | ['The University of Hong Kong', 'Frontiers in Pharmacology', 'Oncogene', 'PLoS ONE', 'Journal of Virology'] | ['Doctor of Philosophy', 'PhD'] | ['Phenotypic screenings using automated high content imaging analysis to identify novel molecules with pharmacological activities', 'Elucidating molecular targets and mode of action of bioactive compounds using chemical biology approach', 'Elucidating pathogenesis of liver cancer', 'Oncogenesis of Hepatocellular Carcinoma', 'Drug Discovery and Chemical Biology', 'Cellular Responses and Adaptation to Hypertonic Stress', 'autophagy', 'cell death', 'PKC-α inhibition', 'mTOR-dependent mechanisms', 'sirtuin 3', 'glycogen synthase kinase-3 beta/BCL2-associated X protein-dependent apoptotic pathway', 'epigenetic modifications of telomerase (TERT) gene', 'hepatitis B virus transcription and replication'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Kwok Wai-ming | ['Fellow of the Royal Society of Chemistry (FRSC)', 'Ma CS', 'Chan RCT', 'Chan CTL', 'Wong AKW', 'Chung BPY', 'Kwok WM', 'Chair-Professor', 'Head of the Department of Applied Biology and Chemical Technology'] | ['Department of Applied Biology and Chemical Technology'] | ['The University of Hong Kong', 'The Chinese University of Hong Kong'] | ['PhD', 'The University of Hong Kong', 'MS', 'The Chinese University of Hong Kong', 'BS'] | ['Time-resolved Spectroscopy Photophysics Photochemistry', 'Fluorescence and Ultrafast Fluorescence', 'formation', 'folding molecularity', 'excitation dynamics', 'Homo-Oligomeric and Human Telomeric i-Motifs', 'acidic and neutral pH', 'Nonradiative dynamics', 'charge transfer induced hydrogen bonding', 'femtosecond time-resolved fluorescence', 'density functional theoretical study', 'methyl dimethylaminobenzoate in water', 'Physical Chemistry Chemical Physics', 'Cu2ZnSnS4/MoS2-Reduced Graphene Oxide Heterostructure', 'nanoscale interfacial contact', 'enhanced photocatalytic hydrogen generation', 'Scientific Reports', 'photocatalysis', 'time-resolved fluorescence', 'transient absorption', 'photo-dynamics of cytosine', 'luminescent complexes', 'organic light-emitting devices', 'high-performance solution-processed monochromic and white organic light-emitting devices'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Lawrence Yoon Suk Lee | ['Associate Professor', 'Best practices in using foam-type electrodes for electrocatalytic performance benchmark', 'Laser-assisted Ultrafast Exfoliation of Black Phosphorus in Liquid with Tunable Thickness for Li-ion Batteries', 'Electrochemical Instability of Metal–Organic Frameworks: In Situ Spectroelectrochemical Investigation of the Real Active Sites', 'Recent Advances in Electrocatalytic Hydrogen Evolution Using Nanoparticles', 'Disordered Layers on WO3 Nanoparticles Enable Photochemical Generation of Hydrogen from Water', 'Pseudocubic Phase Tungsten Oxide as a Photocatalyst for Hydrogen Evolution Reaction', 'Ni/Co-based Nanosheet Arrays for Efficient Oxygen Evolution Reaction', 'Tuning the Morphology and Chiroptical Properties of Discrete Gold Nanorods with Amino Acids'] | ['Department of Applied Biology and Chemical Technology'] | ['McGill University', 'not provided'] | ['Doctor of Philosophy', 'not provided'] | ['nanomaterials', 'nanocomposites', 'clean and renewable energy', 'solar cell', 'water splitting', 'CO2 reduction', 'batteries', 'Electrocatalytic performance benchmark', 'Laser-assisted ultrafast exfoliation of black phosphorus', 'Electrochemical instability of metal–organic frameworks', 'Recent advances in electrocatalytic hydrogen evolution using nanoparticles', 'hydrogen generation', 'photocatalyst', 'nanosheet arrays', 'gold nanorods', 'nano'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Ma Cong | ['Associate Professor', 'Academic and Professional Experiences', 'American Chemical Society', 'Chinese Chemical Society', 'N/A', 'Dr'] | ['Department of Applied Biology and Chemical Technology'] | ['Ecole Polytechnique', 'Massachusetts Institute of Technology', 'French Ministry of Foreign Affairs', 'Nanjing University', 'Hong Kong University of Science and Technology'] | ['Bachelor of Science in Medicinal Chemistry', 'Master of Science in Molecular Chemistry', 'Doctor of Philosophy in Chemistry', 'EDX Postdoctoral Research Fellowship', 'EGIDE Postgraduate Research Fellowship', 'PhD in Chemistry'] | ['drug discovery', 'organic chemistry', 'molecular pharmacology', 'Drug Discovery Synthetic Organic Chemistry and Catalysis Mechanism of Drug Action', 'antimicrobial agents', 'bacterial transcription inhibitors', 'NusB and NusE proteins', 'bacterial transcription', 'RNA polymerase', 'drug design', 'antibacterial drug development', 'cascade metathesis reactions', 'taxane and isotaxane derivatives', 'NusA', 'RNA polymerase-induced remodelling', 'pause enhancement complex', 'taxol'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr So Chau-ming | ['Associate Professor', 'Early Career Award', 'Higher Education Outstanding Scientific Research Output Award', 'Young Scientist Award', 'Eli Lilly Asia Outstanding Graduate Thesis Award', 'Rohm and Haas Electronic Materials Asia Limited Prize', 'Ligands for Transition-Metals and Methods of Use', 'Department of Applied Biology and Chemical Technology'] | ['Department of Applied Biology and Chemical Technology'] | ['The Hong Kong Polytechnic University', 'Hong Kong Institution of Science', '[Chemistry – A European Journal 2016', 'Organic Letters 2015', 'Journal of the American Chemical Society 2013]'] | ['Bachelor of Science in Chemical Technology', 'Doctor of Philosophy', 'PhD'] | ['innovation of cutting-edge catalysis reaction and its usage as a core technology to enrich organic chemistry to address the problems in pharmaceutical synthesis and to advance industrial and material science', 'New Ligand Syntheses', 'Site- and Chemo-selective Catalysis', 'Asymmetric Catalysis', 'Pharmaceuticals and Functional Materials Synthesis', 'Organic Chemistry', 'Organic Synthesis', 'Catalytic Asymmetric Synthesis', 'Ligand Design'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| So, C. M.* | ['Chair-Professor', 'Head of the Department of Applied Biology and Chemical Technology'] | ['Department of Applied Biology and Chemical Technology'] | [] | [] | ['organic chemistry'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Lau Chun-yu Wilson | ['Dr'] | ['Department of Applied Biology and Chemical Technology'] | [] | [] | ['structural biology and Electron Microscopy of the Autophagy Molecular Machinery', 'modular enzyme assembly for enhanced cascade biocatalysis and metabolic flux', 'morphological diversity', 'protein adsorption', 'and cellular uptake of polydopamine-coated gold nanoparticles', 'structure of the human dimeric ATM kinase', 'cell cycle regulation'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Lau Chun-yu Wilson | ['Dr', '#'] | ['Department of Applied Biology and Chemical Technology'] | ['University of California', 'Berkeley'] | ['Ph', 'D'] | ['Site-Selective Lysine Acetylation of Human Immunoglobulin G for Immunoliposomes and Bispecific Antibody Complexes', 'A distinct giant coat protein complex II vesicle population in Arabidopsis thaliana', 'Structural basis of substrate recognition by a small heat shock protein', 'Subnanomter resolution cryo-EM structure of Arabidopsis thaliana ATG9', 'molecular biology', 'biochemistry', 'structural biology'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Wong Sze-chuen, Cesar | ['Associate Professor', 'Representative Publications', 'Clinical Significance of cytokeratin 20-positive circulating tumor cells detected by a refined immunomagnetic enrichment assay in colorectal cancer patients', 'Clin Cancer Res', '15(3)', '1005-1012', 'Impact factor: 13', '801', 'Rank 16/230 in Oncology', 'Top 10%'] | ['Department of Applied Biology and Chemical Technology'] | ['not provided', 'Charles Sturt University', 'Hong Kong University of Science and Technology', 'Clin Cancer Res'] | ['not provided', 'Bachelor of Applied Science (Medical Laboratory Science)', 'Master of Applied Science (Medical Laboratory Science)', 'Doctor of Philosophy in Biology', 'Clinical Significance of cytokeratin 20-positive circulating tumor cells detected by a refined immunomagnetic enrichment assay in colorectal cancer patients', 'book chapters', 'Wong SC', 'Chan CM'] | ['develop biomarkers with diagnostic', 'prognostic and therapeutic significance for Asian common cancers such as colorectal cancer', 'cervical cancer', 'nasopharyngeal cancer and their pre-malignant states', 'COVID-19 pandemic: epidemiology', 'pathogenesis', 'prevention and treatment strategies', 'Clinical significance of cytokeratin 20-positive circulating tumor cells detected by a refined immunomagnetic enrichment assay in colorectal cancer patients'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr. Zhao Qian | ['Associate Professor', 'Editorial board member', 'Council member', 'Member', 'Dr'] | ['Department of Applied Biology and Chemical Technology'] | ["Xi'an Jiaotong University", 'The University of Hong Kong', 'Representative Publications', 'University of Science and Technology of China'] | ['Bachelor of Engineering', 'Doctor of Philosophy', 'Representative Publications', 'Ph', 'D'] | ['mechanisms of innovative anticancer molecules development', 'chemical proteomic approaches for studying fundamental biology', 'novel functional peptides', 'Funcitonal Peptides', 'Chemical Biology', 'Proteomics and Mass Spectrometry', 'Proteomics', 'Signaling Pathways', 'Cell Differentiation', 'Metabolic Dysfunction', 'Kinase Profiling', 'natural products and chemical probes'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Chua Song-lin | ['Assistant Professor', 'Microbial-based method that accumulate and release plastic particles for recovery', 'Microfluidic Platform for Infection Models', 'Microfluidics for label-free detection of pathogen-infected phagocytes', 'Microfluidic Device and Method of Preparing A Cell Model for Disease Associated with Cancer', 'Rapid detection of microorganisms in a fish infection microfluidics platform', 'Biofilm matrix cloaks bacterial quorum sensing chemoattractants from predator detection', 'Ma Y', 'Chua SL\\*'] | ['Department of Applied Biology and Chemical Technology'] | ['National University of Singapore'] | ['Doctor of Philosophy in Biomedical Sciences'] | ['Biofilms are microbial communities with city-like structures and functions', 'enabling them to play complex roles in diseases and environment', 'We study', 'manage and control microbial biofilms in these situations: [1] biofilm interactions with host and environment', '[2] development of biofilm control strategies', 'and [3] biofilm engineering in resource recovery and bioremediation', 'Microfluidics', 'Infection Models', 'Pathogen Detection', 'Cancer Research', 'Biofilm Matrix', 'antibiotic sensitivity', 'biofilm', 'bacterial infections', 'tumor progression', 'microplastics removal', 'Systems Biology', 'Biofilm', 'Microbial Fuel Cells', 'Quorum-Sensing Inhibitors'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Leung King-chi, Franco | ['Assistant Professor', 'Chair-Professor', 'Head of the Department of Applied Biology and Chemical Technology'] | ['Department of Applied Biology and Chemical Technology'] | ['University of California', 'Berkeley'] | ['PhD in Chemistry'] | ['Supramolecular Packing and Macroscopic Alignment Controls Actuation Speed in Macroscopic Strings of Molecular Motor Amphiphiles', 'Artificial Muscle-Like Function from Hierarchical Supramolecular Assembly of Photoresponsive Molecular Motors'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Li Xiuyuan, Ted | ['Assistant Professor'] | ['Department of Applied Biology and Chemical Technology'] | [] | [] | ['Neuroscience', 'synaptic plasticity', 'protein engineering', 'rational biosensor design'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Li Xiuyuan (Dr) | [] | [] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Lo Tsz-woon, Benedict | ['Department of Applied Biology and Chemical Technology'] | ['Department of Applied Biology and Chemical Technology'] | ['Journal of Catalysis'] | ['2018'] | ['Catalysis', 'Functional Materials', 'Synchrotron and Neutron Diffraction and Scattering', 'Structure-reactivity Functions', 'In situ and operando techniques', 'methanol conversion process in H-ZSM-5 using synchrotron X-ray powder diffraction-mass spectrometry'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
